 Produits d'exportation ;1 999,00;2 000,00;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2 011,00;2 012,00;2 013,00
 Coton, non cardé ni peigné ;92 237,10;74 322,60;75 186,00;72 191,10;142 910,40;155 199,10;121 876,20;161 417,50;144 633,20;87 902,00;117 325,40;110 319,90;125 641,90;149 883,40;216 840,30
 Or non monétaire,  y c l'or platiné ;3 159,90;2 485,10;954,1;832,4;1 637,80;1 181,80;1 621,00;4 604,00;4 615,20;54 368,60;190 323,50;436 452,80;852 166,90;805 740,80;732 774,40
 Graines de sésame, même concassées ;3 104,80;2 287,40;4 502,70;5 477,80;3 817,30;6 221,00;4 885,60;6 580,90;10 095,50;11 028,50;22 416,90;27 727,50; 26798 ,7 ;45 010,30;79 629,20
 Autres bovins vivants ;5 654,10;4 359,20;5 660,10;3 418,50;4 180,20;2 488,50;2 314,30;2 424,10;1 230,70;8 069,50;6 632,40;4 019,70;4 226,50;1 942,60;1 944,70
 Autres graines et fruits oléagineux, même concassés ;1,1;5,3;12,7;311,6; -     ;2 110,20;1 816,70;4 846,70;16 545,30;7 391,50;5 961,90;7 276,40;14 895,90;10 155,10;21 541,00
 Cigarettes contenant du tabac ;342,6;1 170,00;1 725,10;1 638,50;8 118,80;5 858,00;3 267,40;3 772,60;4 697,80;4 283,20;3 717,90;3 568,50;3 061,70;2 029,40;405,8
 Autres huile de coton et fractions, non chimiquement modifiés ; -     ;1 973,40;3 386,70;1 832,20;3 889,40;2 388,70;1 530,80;3 939,50;2 002,60;520,3;65,9;723,7;161,3;221,5;802,9
 Animaux vivants de l'espèce ovine ;2 879,70;2 555,00;2 402,50;2 426,90;501,4;514;729,7;539,8;743,3;838,7;1 343,40;937,8;790;476,3;341,5
 Autre maïs ;122,2;1 262,70;1 587,60;436;171,3;2 205,10;354,8;1 733,50;1 469,60;937,4;1 740,30;2 937,60;1 998,80;1 776,40;3 244,40
 Sacs et sachets d'emballage obtenus à partir de lames ;668,8;931,2;913,2;1 948,40;1 934,60;289,6;2 064,30;2 447,10;716,1;1 033,00;1 328,60;390,6;351,8;1 105,70;1 375,10
 Goyaves,  mangues et mangoustans,  frais ou secs ;208;320,1;407;666,7;1 259,90;725;734,8;1 273,50;2 029,90;1 984,50;1 574,90;2 646,30;2 517,00;3 119,20;2 995,80
 Noix de cajou: en coques ;1 440,30;762,5;528,8;220,9;939,7;651,3;565,7;465,5;217,7;1 291,00;1 080,60;3 487,10;26 419,40;13 624,90;19 721,60
 Graines de coton, même concassées ;196,8;202,9;8,7;647,8;1 144,90;2 131,30;2 113,30;2 587,00;2 012,30;7,4;16,6;179;76,2;381,9;1 098,20
 Saccharose chimiquement pur, à l'état solide ;6,2;1 044,50;1 692,30;39,6; -     ;2 554,70;2 683,90;1 778,60;690; -     ; -     ; -     ; -     ;73; -     
 Autres peaux épilées d'ovins tannées ou prétannés ;1 797,50;2 826,90;3 105,00;1 848,90;276,8;92,3; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
 Fils simples coton non peigné,  85 %,  + 43 à 52 nm ;11,6;1 818,80;2 865,00;2 048,10;653;184,3;364;985,4;136,8;15,2; -     ;665,8;824,2; -     ; -     
 De caprins a l'état humide  (y compris wet-blue)  ; -     ; -     ; -     ; -     ; -     ;226,2;201;869,2;2 855,30;2 948,00;1 201,40;911,6;1 256,10;985,5;1 204,60
 Graines de karité, même concassées ;330,8;380;1 192,80;3 158,00;2 353,50;1 225,90;80,1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
 Sacs, sachets, pochettes, cornets en autres matières plastique ;8,2;3,4;2,1;1,7;0,3;27,2;9,8;32,6;3 617,50;1 385,00;2 600,80;1 015,50;2 097,60;1 417,80;1 784,70
 Tourteaux et résidus solides de l'extraction d'huile ;308,3;425,6;209,9;142,9;364,3;353,6;148,3;401,9;687,4;1 312,50;1 985,30;2 287,70;1 311,70;2 899,80;2 620,40
 Autres peaux épilées de caprins tannées ou prétannés,  ;1 378,40;1 279,20;2 041,00;2 061,00;391,9; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
 Autres huiles, graisses et fractions, non chimiquement modifiés ;154,5;121,6;137,2;163,8;158;430,5;366,6;575,2;690,8;1 695,10;755,7;954,1;1 964,70;1 849,50;3 499,50
 Haricots communs secs, écossés, même décortiqués ou cassés ;27,9;85,9;133,3;259,3;25,4;862,7;711,4;907,9;689,5;205,9;520,3;874,8;1 075,30;1 078,20;1 679,30
 Tomates,  fraîches ou réfrigérées ;32,7;0,3;68;242,7;940,4;279,6;459,9;464,2;697,8;596;610,3;870,3;795;601,2;313,5
 Autres meubles en bois ;20,7;15,1;54,9;168,6;257,2;422,8;444,6;325,9;724,7;877,7;980,9;909,6;553,8;1 214,30;894,9
 Bovins vivants,  reproducteurs de race pure ;2 280,20;1 383,70;667,9;239,5;238;30,7;5,2;6,1;2,2;4,8;91,1;10,1;14,1;5,4;1,8
 Sorgho à grains ;46,6;59,7;236,9;48,4;17,8;82,1;126,8;2 081,90;576,9;83,8;360,5;1 080,00;615;240;361,5
" Préparations pour soupes, potages; soupes, potages, bouillons "; -     ;13,3; -     ;2,4;222,1;113,7; -     ;27,3;1,8;2 598,30;793,7;1 003,20;257,8;31,9;0,1
 Peaux tannes ou en croûtes d'ovins épilés à l'état humide ; -     ; -     ; -     ; -     ; -     ;22; -     ;443,3;1 457,90;1 498,60;542,7;655,8;632,1;624,4; -     
